trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",20,0,-57.13507389363329,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.9801, 'e': 0.9801}",20,0,-109.41068724029601,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
3,False,"{'a': 0.970299, 'e': 0.970299}",25,0,-103.66062055751922,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.96059601, 'e': 0.96059601}",25,0,-280.7793846524476,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 5}",0
5,False,"{'a': 0.9509900498999999, 'e': 0.9509900498999999}",20,0,-94.18559349643525,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.941480149401, 'e': 0.941480149401}",20,15,0.28350251322212916,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.9320653479069899, 'e': 0.9320653479069899}",30,0,-96.09063254775366,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.9227446944279201, 'e': 0.9227446944279201}",30,1,-51.00392645800112,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 0}",1
9,False,"{'a': 0.9135172474836408, 'e': 0.9135172474836408}",20,0,-42.13833164692349,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.9043820750088044, 'e': 0.9043820750088044}",20,0,-218.25338814829885,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
11,False,"{'a': 0.8953382542587164, 'e': 0.8953382542587164}",25,13,-84.62584730840068,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.8863848717161292, 'e': 0.8863848717161292}",25,0,-171.04714565678591,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.8775210229989678, 'e': 0.8775210229989678}",25,0,-47.85582886016327,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
